TerminalID,LocationAddress,Latitude,Longitude,RatePackageID,RatePackageDescription,FullRate,POS,NumberOfSpaces,CLZTerminal,Availability,unavailable,objectID
754305,1109 W Randolph St,41.88411,-87.65479,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,17,0,3,FALSE,11549402000
911713,111 E 18TH ST,41.8578583,-87.6233811,461000007,"$2.50, Mon-Sat 9 AM-6 PM, 3 hr POS",2.5,3,11,0,3,FALSE,11549297000
905405,111 N HALSTED ST,41.8835557,-87.6473915,428011007,"$4.75, Mon-Sun 8 AM-10 PM, 2 hr POS, RH1: Mon-Fri 7 AM-9 AM, RH2: Mon-Fri 4 PM-6 PM",4.75,2,12,0,3,FALSE,11548863000
750311,111 N Peoria St,41.883587,-87.649696,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,9,0,2,FALSE,11549858000
811901,111 W ILLINOIS ST,41.8908237,-87.631708,801000005,"$14.00, Mon-Sun 12 AM-11:59 PM, 2 hr POS",14,2,6,1,3,FALSE,11550157000
511519,111 W Monroe St,41.880627,-87.631081,259011006,"$7.00, Mon-Sun 12 AM-11:59 PM, 3 hr POS RH1: Mon-Fri 7 AM-9 AM, RH2: Mon-Fri 4 PM-6 PM",7,3,12,0,1,FALSE,11549848000
299314,1110 N ASHLAND AVE,41.9018897,-87.6675302,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,8,0,3,FALSE,11550445000
445207,1110 W BELMONT AVE,41.9398727,-87.6571286,915000007,"$2.50, Mon-Sat 8 AM-10 PM, Sun 10 AM-8 PM, 2 hr POS",2.5,2,9,0,2,FALSE,11547199000
450122,1110 W Lawrence Ave,41.96965,-87.65811,418000007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS",2.5,3,2,0,1,FALSE,11547770000
539303,1111 S HERMITAGE AVE,41.8673866,-87.6701219,484003007,"$2.50, Mon-Sat 12 AM-11:59 PM, 10 hr POS RH1: Mon-Sun 12 AM-5 AM",2.5,10,11,0,3,FALSE,11549688000
383208,1111 W FULLERTON AVE,41.9253135,-87.6564604,418000007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS",2.5,3,11,0,3,FALSE,11546637000
408609,11115 S MICHIGAN AVE,41.6920302,-87.6210167,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,8,0,3,FALSE,11547438000
408601,11116 S MICHIGAN AVE,41.6919941,-87.6210536,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,6,0,3,FALSE,11547430000
343411,1112 S State St,41.869003,-87.627585,431000007,"$4.75, Mon-Sun 8 AM-10 PM, 3 hr POS",4.75,3,15,0,3,FALSE,11550550000
330415,1112 S Wabash Ave,41.86897,-87.62609,431004007,"$4.75, Mon-Sun 8 AM-10 PM, 3 hr POS, RH2: Mon-Fri 4 PM-6 PM",4.75,3,5,0,2,FALSE,11549472000
468108,1112 W ARGYLE ST,41.9732873,-87.6581566,946000007,"$2.50, Mon-Sun 8 AM-10 PM, 2 hr POS",2.5,2,5,0,3,FALSE,11548148000
466104,1112 W LELAND AVE,41.9672461,-87.657863,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,6,0,3,FALSE,11548116000
299303,1113 N ASHLAND AVE,41.9019825,-87.6673713,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,10,0,3,FALSE,11550434000
445212,1113 W BELMONT AVE,41.9398448,-87.6571433,915000007,"$2.50, Mon-Sat 8 AM-10 PM, Sun 10 AM-8 PM, 2 hr POS",2.5,2,9,0,3,FALSE,11547204000
469103,1113 W BERWYN AVE,41.9781567,-87.6584395,461000007,"$2.50, Mon-Sat 9 AM-6 PM, 3 hr POS",2.5,3,5,0,3,FALSE,11548159000
408607,11139 S MICHIGAN AVE,41.6915299,-87.6210147,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,9,0,3,FALSE,11547436000
754306,1114 W Randolph St,41.88472,-87.65497,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,19,0,3,FALSE,11549403000
408602,11142 S MICHIGAN AVE,41.6912941,-87.6210442,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,8,0,3,FALSE,11547431000
286420,1115 S DESPLAINES ST,41.8679439,-87.6436418,430000007,"$4.75, Mon-Sat 8 AM-10 PM, 3 hr POS",4.75,3,21,0,3,FALSE,11549914000
760305,1115 W Fulton Market St,41.88667,-87.65507,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,7,0,1,FALSE,11550565000
757305,1115 W Lake St,41.88543,-87.65527,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,5,0,2,FALSE,11549433000
730303,1116 N CALIFORNIA AVE,41.9015284,-87.6968689,478000007,"$2.50, Mon-Sat 10 AM-10 PM, 2 hr POS",2.5,2,6,0,3,FALSE,11548815000
374402,1116 N WELLS ST,41.9026273,-87.6344592,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,9,0,3,FALSE,11546945000
632403,1116 S CLINTON ST,41.8685421,-87.6407457,499000007,"$4.75, Mon-Sat 8 AM-10 PM, Sun 8 AM-6 PM, 3 hr POS",4.75,3,10,0,3,FALSE,11548227000
249305,1116 W GRAND AVE,41.891123,-87.6553731,429000007,"$4.75, Mon-Sat 8 AM-10 PM, 2 hr POS",4.75,2,5,0,2,FALSE,11547469000
258306,1116 W MADISON ST,41.8816691,-87.6549345,429000007,"$4.75, Mon-Sat 8 AM-10 PM, 2 hr POS",4.75,2,7,0,1,FALSE,11547547000
632404,1117 S CLINTON ST,41.868796,-87.640667,431000007,"$4.75, Mon-Sun 8 AM-10 PM, 3 hr POS",4.75,3,4,0,3,FALSE,11548228000
438213,1117 W ARMITAGE AVE,41.9180425,-87.6563259,418000007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS",2.5,3,8,0,3,FALSE,11547299000
751305,1117 W Washington Blvd,41.88295,-87.6552,429000007,"$4.75, Mon-Sat 8 AM-10 PM, 2 hr POS",4.75,2,3,0,1,FALSE,11549391000
546437,1118 N Orleans St,41.9025887,-87.6374569,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,5,0,3,FALSE,11549379000
529405,1118 S CANAL ST,41.868642,-87.6392745,430000007,"$4.75, Mon-Sat 8 AM-10 PM, 3 hr POS",4.75,3,17,0,3,FALSE,11548732000
